Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
842.200012,-1.901827,-0.717214
842.250000,-1.906234,-0.719567
842.299988,-1.910653,-0.721914
842.350037,-1.915073,-0.724247
842.400024,-1.919501,-0.726573
842.450012,-1.923927,-0.728897
842.500000,-1.928353,-0.731223
842.549927,-1.932775,-0.733556
842.599976,-1.937190,-0.735902
842.649963,-1.941598,-0.738265
842.699951,-1.945994,-0.740646
842.750000,-1.950377,-0.743048
842.799988,-1.954746,-0.745485
842.849976,-1.959091,-0.747955
842.899963,-1.963425,-0.750468
842.949951,-1.967721,-0.753010
843.000000,-1.971997,-0.755608
843.049988,-1.976235,-0.758264
843.099976,-1.980439,-0.760965
843.150024,-1.984606,-0.763721
843.200012,-1.988735,-0.766553
843.250000,-1.992823,-0.769424
843.299988,-1.996865,-0.772370
843.349976,-2.000848,-0.775396
843.400024,-2.004771,-0.778502
843.450012,-2.008631,-0.781674
843.500000,-2.012416,-0.784944
843.550049,-2.016137,-0.788282
843.599976,-2.019777,-0.791698
843.649963,-2.023323,-0.795225
843.699951,-2.026804,-0.798876
843.749939,-2.030141,-0.802573
843.799988,-2.033428,-0.806326
843.849976,-2.036598,-0.810177
843.899963,-2.039687,-0.814099
843.950012,-2.042650,-0.818143
844.000000,-2.045493,-0.822233
844.049988,-2.048224,-0.826441
844.099976,-2.050813,-0.830712
844.149963,-2.053286,-0.835069
844.200012,-2.055588,-0.839495
844.250000,-2.057754,-0.843993
844.299988,-2.059762,-0.848605
844.350037,-2.061584,-0.853271
844.400024,-2.063247,-0.857986
844.450012,-2.064727,-0.862756
844.500000,-2.066041,-0.867608
844.549927,-2.067162,-0.872463
844.599976,-2.068114,-0.877390
844.649963,-2.068855,-0.882315
844.699951,-2.069407,-0.887288
844.750000,-2.069752,-0.892273
844.799988,-2.069890,-0.897264
844.849976,-2.069824,-0.902249
844.899963,-2.069541,-0.907266
844.949951,-2.069056,-0.912219
845.000000,-2.068347,-0.917161
845.049988,-2.067415,-0.922089
845.099976,-2.066269,-0.926957
845.150024,-2.064916,-0.931801
845.200012,-2.063355,-0.936536
845.250000,-2.061564,-0.941238
845.299988,-2.059581,-0.945795
845.349976,-2.057330,-0.950311
845.400024,-2.054943,-0.954663
845.450012,-2.052288,-0.958953
845.500000,-2.049482,-0.963028
845.550049,-2.046470,-0.967036
845.599976,-2.043263,-0.970846
845.649963,-2.039858,-0.974567
845.699951,-2.036278,-0.978033
845.749939,-2.032541,-0.981348
845.799988,-2.028649,-0.984484
845.849976,-2.024571,-0.987414
845.899963,-2.020420,-0.990141
845.950012,-2.016081,-0.992694
846.000000,-2.011672,-0.995010
846.049988,-2.007126,-0.997013
846.099976,-2.002500,-0.998875
846.149963,-1.997742,-1.000496
846.200012,-1.992929,-1.001884
846.250000,-1.988090,-1.003022
846.299988,-1.983154,-1.003922
846.350037,-1.978185,-1.004570
846.400024,-1.973191,-1.004981
846.450012,-1.968203,-1.005143
846.500000,-1.963228,-1.005050
846.549927,-1.958225,-1.004706
