Graph,,
Time (Seconds),omegaMes (User unit),omegaRef (User unit)
21.299999,1.025254,1
21.349998,1.005126,1
21.4,0.975664,1
21.449999,0.948355,1
21.5,1.026508,1
21.549999,1.013575,1
21.599998,1.028935,1
21.65,0.963987,1
21.699999,0.986104,1
21.75,1.020225,1
21.799999,1.076816,1
21.849998,0.931847,1
21.9,0.972855,1
21.949999,1.021067,1
22,1.003665,1
22.049999,1.001709,1
22.099998,0.974898,1
22.15,0.994715,1
22.199999,1.015633,1
22.25,0.97751,1
22.299999,1.008826,1
22.349998,1.030992,1
22.4,0.98686,1
22.449999,1.024413,1
22.5,0.995863,1
22.549999,0.989699,1
22.599998,1.019638,1
22.65,0.961359,1
22.699999,0.978465,1
22.75,1.00572,1
22.799999,1.021872,1
22.849998,0.986773,1
22.9,1.057989,1
22.949999,0.955589,1
23,1.003434,1
23.049999,0.9979,1
23.099998,1.010484,1
23.15,0.992696,1
23.199999,1.000809,1
23.25,1.002198,1
23.299999,0.974277,1
23.349998,1.019477,1
23.4,1.015727,1
23.449999,1.01387,1
23.5,1.001752,1
23.549999,1.004563,1
23.599998,0.992022,1
23.65,0.967826,1
23.699999,1.030136,1
23.75,0.977076,1
23.799999,1.008166,1
23.849998,1.013587,1
23.9,0.983165,1
23.949999,1.021492,1
24,0.963738,1
24.049999,1.031513,1
24.099998,0.97542,1
24.15,0.995406,1
24.199999,1.009004,1
24.25,1.024917,1
24.299999,1.008474,1
24.349998,0.95167,1
24.4,1.028556,1
24.449999,0.981055,1
24.5,1.024153,1
24.549999,0.981458,1
24.599998,0.99889,1
24.65,0.990169,1
24.699999,1.016585,1
24.75,1.018128,1
24.799999,0.990327,1
24.849998,1.005184,1
24.9,0.965972,1
24.949999,0.978735,1
25,1.055833,1
25.049999,1.002476,1
25.099998,0.97373,1
25.15,0.999,1
25.199999,1.029856,1
25.25,0.993145,-1
25.299999,-0.733644,-1
25.349998,-0.969632,-1
25.4,-0.978732,-1
25.449999,-1.006262,-1
25.5,-1.011335,-1
25.549999,-0.996189,-1
25.599998,-1.026704,-1
25.65,-0.98206,-1
25.699999,-0.959289,-1
25.75,-1.021378,-1
25.799999,-1.00759,-1
25.849998,-0.989468,-1
25.9,-1.015452,-1
25.949999,-1.008908,-1
26,-0.995243,-1
26.049999,-0.974111,-1
26.099998,-1.014293,-1
26.15,-0.990799,-1
26.199999,-0.995105,-1
26.25,-0.995919,-1
26.299999,-0.992694,-1
26.349998,-1.004108,-1
26.4,-1.03006,-1
26.449999,-0.944951,-1
26.5,-1.046972,-1
26.549999,-0.981012,-1
26.599998,-1.00072,-1
