Graph1,,
Time (Seconds),vRef (User unit),vMes (User unit)
12.5,0.3,0.300015
12.55,0.3,0.299261
12.6,0.3,0.300959
12.650001,0.3,0.299512
12.7,0.3,0.300363
12.75,0.3,0.300255
12.8,0.3,0.30023
12.85,0.3,0.300255
12.900001,0.3,0.29946
12.95,0.3,0.300096
13,0.3,0.299708
13.05,0.3,0.299985
13.1,0.3,0.300671
13.150001,0.3,0.299741
13.2,0.3,0.300537
13.25,0.3,0.300109
13.3,0.3,0.299435
13.35,0.3,0.300236
13.400001,0.3,0.300134
13.45,0.3,0.29881
13.5,0.3,0.301253
13.55,0.3,0.299017
13.6,0.3,0.300521
13.650001,0.3,0.300476
13.7,0.3,0.29925
13.75,0.3,0.300093
13.8,0.3,0.299192
13.85,0.3,0.300019
13.900001,0.3,0.300153
13.95,0.3,0.299523
14,0.3,0.30098
14.05,0.3,0.299627
14.1,0.3,0.301184
14.150001,0.3,0.298667
14.2,0.3,0.300728
14.25,0.3,0.299724
14.3,0.3,0.299872
14.35,0.3,0.30023
14.400001,0.3,0.299507
14.45,0.3,0.301264
14.5,0.3,0.298619
14.55,0.3,0.300584
14.6,0.3,0.300072
14.650001,0.3,0.300001
14.7,0.3,0.299704
14.75,0.3,0.29975
14.8,0.3,0.30128
14.85,0.3,0.298074
14.900001,0.3,0.301137
14.95,0.3,0.300704
15,0.3,0.298824
15.05,0.3,0.300574
15.1,0.3,0.299318
15.150001,0.1,0.300423
15.2,0.1,0.116937
15.25,0.1,0.130828
15.3,0.1,0.103116
15.35,0.1,0.112342
15.400001,0.1,0.099207
15.45,0.1,0.104789
15.5,0.1,0.099492
15.55,0.1,0.102515
15.6,0.1,0.099269
15.650001,0.1,0.101503
15.7,0.1,0.098703
15.75,0.1,0.101366
15.8,0.1,0.098755
15.85,0.1,0.101633
15.900001,0.1,0.098135
15.95,0.1,0.101403
16,0.1,0.0989
16.049999,0.1,0.100068
16.099998,0.1,0.100619
16.15,0.1,0.100509
16.199999,0.1,0.099225
16.25,0.1,0.100624
16.299999,0.1,0.099744
16.349998,0.1,0.099904
16.4,0.1,0.099552
16.449999,0.1,0.10066
16.5,0.1,0.09923
16.549999,0.1,0.10073
16.599998,0.1,0.09954
16.65,0.1,0.09939
16.699999,0.1,0.101884
16.75,0.1,0.098476
16.799999,0.1,0.10027
16.849998,0.1,0.100166
16.9,0.1,0.099991
16.949999,0.1,0.099389
17,0.1,0.099993
17.049999,0.1,0.10056
17.099998,0.1,0.100667
17.15,0.1,0.09883
17.199999,0.1,0.101739
17.25,0.1,0.0984
17.299999,0.1,0.101109
17.349998,0.1,0.098813
17.4,0.1,0.101235
17.449999,0.1,0.099073
17.5,0.1,0.100315
17.549999,0.1,0.100227
17.599998,0.1,0.100263
17.65,0.1,0.099161
17.699999,0.1,0.101592
17.75,0.1,0.098724
17.799999,0.1,0.100791
17.849998,0.1,0.09955
17.9,0.1,0.099339
17.949999,0.1,0.100273
18,0.1,0.100158
18.049999,0.1,0.09981
18.099998,0.1,0.100421
18.15,0.1,0.099223
18.199999,0.1,0.100077
18.25,0.1,0.100435
18.299999,0.1,0.099528
18.349998,0.1,0.100295
18.4,0.1,0.099322
18.449999,0.1,0.099424
18.5,0.1,0.100655
18.549999,0.1,0.100738
18.599998,0.1,0.099353
18.65,0.1,0.100582
18.699999,0.1,0.099652
